"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_phen_1","var_prcp_avg_phen_2","var_prcp_avg_phen_3","var_gdd_avg_phen_1","var_gdd_avg_phen_2","var_gdd_avg_phen_3","Descriptions_WS_WA","Notes"
2015,"Sonoma","Cabernet",95,NA,NA,95,45.9,3.6,5.65,312.925,718.6,790.425,NA,NA
2016,"Sonoma","Cabernet",95,NA,NA,95,35.7,3.95,0,338.475,707.475,676.275,NA,NA
2017,"Sonoma","Cabernet",90,NA,NA,90,70.45,12.6,1.5,296.6,768.65,791.675,NA,NA
2018,"Sonoma","Cabernet",94,NA,NA,94,77.95,2.45,0,307.4,699.375,672.475,NA,NA
1995,"Sonoma","Chardonnay",NA,92,NA,92,174.5,54.55,0,189.25,553.025,806.075,NA,NA
1996,"Sonoma","Chardonnay",95,90,NA,92.5,87.4,98.85,0.4,250.65,624.625,793.0875,NA,NA
1997,"Sonoma","Chardonnay",95,94,NA,94.5,33.1,21.05,21.6,295.125,720.2,767.9,NA,NA
1998,"Sonoma","Chardonnay",86,87,NA,86.5,121.025,70.5,0,203.875,409.2625,709.65,NA,NA
1999,"Sonoma","Chardonnay",94,88,NA,91,128.4,2.9,0.25,168.8375,530.3,690.4375,NA,NA
2000,"Sonoma","Chardonnay",89,88,NA,88.5,42.7,40.95,0.5,288.575,624.3,736.525,NA,NA
2001,"Sonoma","Chardonnay",94,90,NA,92,22.15,3.3,0,250.8875,755.575,696.05,NA,NA
2002,"Sonoma","Chardonnay",99,90,NA,94.5,30.98,34.85,0,220.7,632.825,723.725,NA,NA
2003,"Sonoma","Chardonnay",88,85,NA,86.5,199.65,2.4,10.8,165.925,628.1,826.7625,NA,NA
2004,"Sonoma","Chardonnay",99,85,NA,92,24.2333333333333,10.3,0,338.7875,596.358333333333,812.822916666667,NA,NA
2005,"Sonoma","Chardonnay",95,86,NA,90.5,157.29,94.6,0,190.175,578.125,748.8375,NA,NA
2006,"Sonoma","Chardonnay",94,86,NA,90,279.2,23.1,0,167.35,659.133333333333,783.5,NA,NA
2007,"Sonoma","Chardonnay",96,90,NA,93,50.15,0,1.55,266.925,665.4125,779.7625,NA,NA
2008,"Sonoma","Chardonnay",91,87,NA,89,7.2,4.2,0,197.575,688.05,781.05,NA,NA
2009,"Sonoma","Chardonnay",95,88,NA,91.5,80.65,1.15,1.95,245.675,617.4625,696.735,NA,NA
2010,"Sonoma","Chardonnay",92,87,NA,89.5,134.25,44.3,0,200.9,543.9,674.2125,NA,NA
2011,"Sonoma","Chardonnay",87,87,NA,87,222.456666666667,131.7325,0,204.875,525.7,689.925,NA,NA
2012,"Sonoma","Chardonnay",93,91,NA,92,208.0425,4.11666666666667,0,203.875,638.275,710.4,NA,NA
2013,"Sonoma","Chardonnay",93,91,NA,92,41.85,25.25,0,346.275,687.125,735.725,NA,NA
2014,"Sonoma","Chardonnay",92,92,NA,92,112,0,0.8,300.375,684.2375,809.875,NA,NA
2015,"Sonoma","Chardonnay",90,90,NA,90,49.85,4.35,0.15,315.475,618.2,849,NA,NA
2016,"Sonoma","Chardonnay",90,94,NA,92,57,8.8,0,307.425,646.825,718.15,NA,NA
2017,"Sonoma","Chardonnay",93,90,NA,91.5,140.45,12.6,1.5,281,672.3,879.425,NA,NA
2018,"Sonoma","Chardonnay",95,93,NA,94,159,2.45,0,240.25,631.425,742.7,NA,NA
1996,"Sonoma","Merlot",82,NA,NA,82,86.9,98.85,0.4,276.05,664.4,681.1125,NA,NA
1997,"Sonoma","Merlot",86,NA,NA,86,15.7,21.05,21.6,309.475,736.275,663.025,NA,NA
1998,"Sonoma","Merlot",79,NA,NA,79,99.575,52.65,0,183.4,406.8625,679.925,NA,NA
1999,"Sonoma","Merlot",81,NA,NA,81,85.55,2.9,0.25,206.2625,586.425,581.4125,NA,NA
2000,"Sonoma","Merlot",80,NA,NA,80,68.25,15.4,0.5,260.075,684.3,640.125,NA,NA
2001,"Sonoma","Merlot",83,NA,NA,83,17.45,3.3,0,270.8875,745.375,608.8,NA,NA
2002,"Sonoma","Merlot",81,NA,NA,81,5.48,34.85,0,243.3,679.75,618.05,NA,NA
2003,"Sonoma","Merlot",80,NA,NA,80,188.05,0,10.8,153.5375,717.95,696.075,NA,NA
2004,"Sonoma","Merlot",88,NA,NA,88,22.8,0.65,0,310.375,641.308333333333,706.797916666667,NA,NA
2005,"Sonoma","Merlot",89,NA,NA,89,105.44,57.7,0,208.425,659.4,617.9375,NA,NA
2006,"Sonoma","Merlot",85,NA,NA,85,184.35,23.1,0,240.025,705.958333333333,652.125,NA,NA
2007,"Sonoma","Merlot",85,NA,NA,85,45.85,1.55,0,287.0125,677.85,678.4625,NA,NA
2008,"Sonoma","Merlot",85,NA,NA,85,7.2,4.2,0,238.5,714.3,680.675,NA,NA
2009,"Sonoma","Merlot",86,NA,NA,86,70.8,0.65,1.95,266.9125,656.485,579.95,NA,NA
2010,"Sonoma","Merlot",84,NA,NA,84,131.3,36.05,0,189.375,598.125,573.2125,NA,NA
2011,"Sonoma","Merlot",83,NA,NA,83,35.8208333333333,127.52,0,238.875,557.9,605.2,NA,NA
2012,"Sonoma","Merlot",89,NA,NA,89,110.273571428571,4.11666666666667,0,274.675,635.95,622.1,NA,NA
2013,"Sonoma","Merlot",88,NA,NA,88,35.6,22.35,0,376.875,706.975,640.225,NA,NA
2014,"Sonoma","Merlot",89,NA,NA,89,79.9,0,0.8,313.5875,719.35,700.975,NA,NA
2015,"Sonoma","Merlot",88,NA,NA,88,45.65,3.85,0.15,277.2,682.75,736.15,NA,NA
2016,"Sonoma","Merlot",91,NA,NA,91,35.7,3.95,0,315.85,691.775,610.075,NA,NA
2000,"Sonoma","Rhone",87,NA,NA,87,79.45,4.2,0.5,251.625,717.6,602.225,NA,NA
2001,"Sonoma","Rhone",89,NA,NA,89,14.25,3.3,0,258.6875,771.9,574.5,NA,NA
2002,"Sonoma","Rhone",89,NA,NA,89,5.48,34.85,0,235.275,708.5,581.95,NA,NA
2003,"Sonoma","Rhone",90,NA,NA,90,186.65,0,10.8,137.5875,767.975,639.8,NA,NA
2004,"Sonoma","Rhone",89,NA,NA,89,15.2,0.65,0,302.025,683.133333333333,657.197916666667,NA,NA
2005,"Sonoma","Rhone",87,NA,NA,87,93.39,57.7,0,209.4,699.625,568.2625,NA,NA
2006,"Sonoma","Rhone",95,NA,NA,95,150.5,23.1,0,248.8,760.458333333333,584.45,NA,NA
2007,"Sonoma","Rhone",92,NA,NA,92,41.4,1.55,0,282.2125,715,633.2625,NA,NA
2008,"Sonoma","Rhone",91,NA,NA,91,4.3,4.2,0,252.125,731.825,645.375,NA,NA
2009,"Sonoma","Rhone",93,NA,NA,93,70.8,0.65,1.95,254.1375,689.685,537.6,NA,NA
2010,"Sonoma","Rhone",93,NA,NA,93,127.05,36.05,0,186.1,628.7,535.8125,NA,NA
2011,"Sonoma","Rhone",87,NA,NA,87,25.6833333333333,122.6575,0,229.275,597.325,562.725,NA,NA
2012,"Sonoma","Rhone",92,NA,NA,92,75.1735714285714,4.11666666666667,0,273.025,668.5,583.275,NA,NA
2013,"Sonoma","Rhone",93,NA,NA,93,30.75,22.35,0,366.325,738.225,600.775,NA,NA
2014,"Sonoma","Rhone",94,NA,NA,94,53.95,0,0.8,315.3125,750.4,656,NA,NA
2015,"Sonoma","Rhone",94,NA,NA,94,45.9,3.6,0.15,255,728.725,685.725,NA,NA
2016,"Sonoma","Rhone",93,NA,NA,93,35.7,3.95,0,310.925,722.45,572.025,NA,NA
2017,"Sonoma","Rhone",89.5,NA,NA,89.5,65.7,12.6,1.5,262.05,783.675,709.825,NA,"WS_Napa, 88-91 (value is mean), WE_Sonoma, 88-91 (value is mean)"
2004,"Sonoma","Zinfandel",86,NA,NA,86,15.2,0.65,0,302.025,683.133333333333,657.197916666667,NA,NA
2005,"Sonoma","Zinfandel",89,NA,NA,89,93.39,57.7,0,209.4,699.625,568.2625,NA,NA
2006,"Sonoma","Zinfandel",90,NA,NA,90,150.5,23.1,0,248.8,760.458333333333,584.45,NA,NA
2007,"Sonoma","Zinfandel",91,NA,NA,91,41.4,1.55,0,282.2125,715,633.2625,NA,NA
2008,"Sonoma","Zinfandel",93,NA,NA,93,4.3,4.2,0,252.125,731.825,645.375,NA,NA
2009,"Sonoma","Zinfandel",92,NA,NA,92,70.8,0.65,1.95,254.1375,689.685,537.6,NA,NA
2010,"Sonoma","Zinfandel",88,NA,NA,88,127.05,36.05,0,186.1,628.7,535.8125,NA,NA
2011,"Sonoma","Zinfandel",88,NA,NA,88,25.6833333333333,122.6575,0,229.275,597.325,562.725,NA,NA
2012,"Sonoma","Zinfandel",91,NA,NA,91,75.1735714285714,4.11666666666667,0,273.025,668.5,583.275,NA,NA
2013,"Sonoma","Zinfandel",92,NA,NA,92,30.75,22.35,0,366.325,738.225,600.775,NA,NA
2014,"Sonoma","Zinfandel",94,NA,NA,94,53.95,0,0.8,315.3125,750.4,656,NA,NA
2015,"Sonoma","Zinfandel",94,NA,NA,94,45.9,3.6,0.15,255,728.725,685.725,NA,NA
2016,"Sonoma","Zinfandel",95,NA,NA,95,35.7,3.95,0,310.925,722.45,572.025,NA,NA
2017,"Sonoma","Zinfandel",91,NA,NA,91,65.7,12.6,1.5,262.05,783.675,709.825,NA,NA
2018,"Sonoma","Zinfandel",94.5,NA,NA,94.5,73.5,2.45,0,261.4,713,583.675,NA,"WE_Sonoma, 93-96 (value is mean)"
