"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","prcp_avg_phen_gen_1","prcp_avg_phen_gen_2","prcp_avg_phen_gen_3","prcp_avg_phen_cab_1","prcp_avg_phen_cab_2","prcp_avg_phen_cab_3","prcp_avg_phen_chard_1","prcp_avg_phen_chard_2","prcp_avg_phen_chard_3","prcp_avg_phen_mer_1","prcp_avg_phen_mer_2","prcp_avg_phen_mer_3","gdd_avg_phen_gen_1","gdd_avg_phen_gen_2","gdd_avg_phen_gen_3","gdd_avg_phen_cab_1","gdd_avg_phen_cab_2","gdd_avg_phen_cab_3","gdd_avg_phen_chard_1","gdd_avg_phen_chard_2","gdd_avg_phen_chard_3","gdd_avg_phen_mer_1","gdd_avg_phen_mer_2","gdd_avg_phen_mer_3","Descriptions_WS_WA","Notes"
2005,"North Coast","Cabernet ",NA,NA,95,93.39,57.7,0,123.99,57.7,0,157.29,94.6,0,105.44,57.7,0,209.4,699.625,568.2625,225.8,683.525,652.9875,190.175,578.125,748.8375,208.425,659.4,617.9375,"T",NA
2006,"North Coast","Cabernet ",NA,NA,91,150.5,23.1,0,241.4,23.1,0,279.2,23.1,0,184.35,23.1,0,248.8,760.458333333333,584.45,255.675,738.783333333333,693.375,167.35,659.133333333333,783.5,240.025,705.958333333333,652.125,"E",NA
2007,"North Coast","Cabernet ",NA,NA,96,41.4,1.55,0,50.15,1.55,4.85,50.15,0,1.55,45.85,1.55,0,282.2125,715,633.2625,308.5375,701.1,709.1125,266.925,665.4125,779.7625,287.0125,677.85,678.4625,"E",NA
2008,"North Coast","Cabernet ",NA,NA,94,4.3,4.2,0,7.2,4.2,0,7.2,4.2,0,7.2,4.2,0,252.125,731.825,645.375,261.275,720.825,718.56,197.575,688.05,781.05,238.5,714.3,680.675,"T",NA
2009,"North Coast","Cabernet ",NA,NA,94,70.8,0.65,1.95,70.8,0.65,1.95,80.65,1.15,1.95,70.8,0.65,1.95,254.1375,689.685,537.6,299.0125,681.085,600.075,245.675,617.4625,696.735,266.9125,656.485,579.95,"T",NA
2010,"North Coast","Cabernet ",NA,NA,95,127.05,36.05,0,142.5,36.05,0,134.25,44.3,0,131.3,36.05,0,186.1,628.7,535.8125,203.95,618.7,621.3375,200.9,543.9,674.2125,189.375,598.125,573.2125,"T",NA
2011,"North Coast","Cabernet ",NA,NA,82,25.6833333333333,122.6575,0,64.7833333333333,122.6575,0,222.456666666667,131.7325,0,35.8208333333333,127.52,0,229.275,597.325,562.725,254.575,587.35,675.05,204.875,525.7,689.925,238.875,557.9,605.2,"I",NA
2012,"North Coast","Cabernet ",NA,NA,96,75.1735714285714,4.11666666666667,0,156.345,4.11666666666667,0,208.0425,4.11666666666667,0,110.273571428571,4.11666666666667,0,273.025,668.5,583.275,287.45,656.55,661.575,203.875,638.275,710.4,274.675,635.95,622.1,"E",NA
2013,"North Coast","Cabernet ",NA,NA,98,30.75,22.35,0,40.15,22.35,13.6,41.85,25.25,0,35.6,22.35,0,366.325,738.225,600.775,399.65,726,693.8,346.275,687.125,735.725,376.875,706.975,640.225,"T",NA
2014,"North Coast","Cabernet ",NA,NA,93,53.95,0,0.8,112,0,4.35,112,0,0.8,79.9,0,0.8,315.3125,750.4,656,337.6625,737.35,761.5875,300.375,684.2375,809.875,313.5875,719.35,700.975,"R",NA
2015,"North Coast","Cabernet ",NA,NA,97,45.9,3.6,0.15,45.9,3.6,5.65,49.85,4.35,0.15,45.65,3.85,0.15,255,728.725,685.725,312.925,718.6,790.425,315.475,618.2,849,277.2,682.75,736.15,"E",NA
2016,"North Coast","Cabernet ",NA,NA,98,35.7,3.95,0,35.7,3.95,0,57,8.8,0,35.7,3.95,0,310.925,722.45,572.025,338.475,707.475,676.275,307.425,646.825,718.15,315.85,691.775,610.075,"T",NA
2017,"North Coast","Cabernet ",NA,NA,86,65.7,12.6,1.5,70.45,12.6,1.5,140.45,12.6,1.5,68.25,12.6,1.5,262.05,783.675,709.825,296.6,768.65,791.675,281,672.3,879.425,275.9,736.35,760.925,"I",NA
1990,"North Coast","Cabernet ",NA,NA,94,7.25,41.6,0,7.25,41.6,7.2,7.25,41.6,0,7.25,41.6,0,246.35,624.975,589.125,275.85,614.825,686.925,286.725,486.425,758.7,252.525,587.75,633.275,"E",NA
1991,"North Coast","Cabernet ",NA,NA,94,11.05,13.25,3.2,48.25,13.25,3.2,152.75,14.55,3.2,32.4,13.25,3.2,176.225,610.45,564.125,192.7,599.75,658.775,139.825,534,693.725,177.9,580.725,599.4,"T",NA
1992,"North Coast","Cabernet ",NA,NA,93,20.85,29.475,0,22.825,29.475,0,60.1875,29.475,0,21.5,29.475,0,331.675,699.1625,404.45,362.025,687.2125,492.325,297.125,630.5875,560.975,339.575,661.1625,448.45,"R",NA
1993,"North Coast","Cabernet ",NA,NA,90,48.45,61.75,0,63.1375,61.75,0,116.5875,61.75,0,53.9,61.75,0,233.60625,716.3375,607.575,248.70625,700.9125,683.1,219.00625,637.775,753.3375,235.08125,679.6625,651.175,"E",NA
1995,"North Coast","Chardonnay",NA,NA,92,91.3,35.75,0,91.3,35.75,0,174.5,54.55,0,90.25,36.8,0,190.575,676.025,646.45,209.2,666.025,745.65,189.25,553.025,806.075,196.675,635.175,690.925,"C",NA
1996,"North Coast","Chardonnay",NA,NA,87,100.5,85.25,0.4,101,85.25,0.4,87.4,98.85,0.4,86.9,98.85,0.4,281.075,698.875,636.2125,291.3,686.375,728.4125,250.65,624.625,793.0875,276.05,664.4,681.1125,"C",NA
1997,"North Coast","Chardonnay",NA,NA,92,15.7,21.05,21.6,15.7,21.05,21.6,33.1,21.05,21.6,15.7,21.05,21.6,303.925,765.725,622.75,340.725,755.85,721.25,295.125,720.2,767.9,309.475,736.275,663.025,"C",NA
1998,"North Coast","Chardonnay",NA,NA,89,88.275,52.65,0,107.725,52.65,0,121.025,70.5,0,99.575,52.65,0,182.55,452.9375,630.25,189.925,448.9125,705,203.875,409.2625,709.65,183.4,406.8625,679.925,"R",NA
1999,"North Coast","Chardonnay",NA,NA,89,76.4,2.9,0.25,109.85,2.9,0.5,128.4,2.9,0.25,85.55,2.9,0.25,204.7375,613.175,551.8875,211.9625,605.425,629.2875,168.8375,530.3,690.4375,206.2625,586.425,581.4125,"R",NA
2000,"North Coast","Chardonnay",NA,NA,87,79.45,4.2,0.5,79.45,4.2,1.4,42.7,40.95,0.5,68.25,15.4,0.5,251.625,717.6,602.225,278.85,705.675,715.075,288.575,624.3,736.525,260.075,684.3,640.125,"C",NA
2001,"North Coast","Chardonnay",NA,NA,90,14.25,3.3,0,22.15,3.3,0,22.15,3.3,0,17.45,3.3,0,258.6875,771.9,574.5,302.8875,761.35,650.275,250.8875,755.575,696.05,270.8875,745.375,608.8,"C",NA
2002,"North Coast","Chardonnay",NA,NA,90,5.48,34.85,0,5.48,34.85,0,30.98,34.85,0,5.48,34.85,0,235.275,708.5,581.95,271.325,699.175,694.7375,220.7,632.825,723.725,243.3,679.75,618.05,"R",NA
2003,"North Coast","Chardonnay",NA,NA,91,186.65,0,10.8,188.45,0,10.8,199.65,2.4,10.8,188.05,0,10.8,137.5875,767.975,639.8,183.3875,755.075,753.9375,165.925,628.1,826.7625,153.5375,717.95,696.075,"R",NA
2004,"North Coast","Chardonnay",NA,NA,92,15.2,0.65,0,33.8833333333333,0.65,2.2,24.2333333333333,10.3,0,22.8,0.65,0,302.025,683.133333333333,657.197916666667,331.9125,673.133333333333,744.847916666667,338.7875,596.358333333333,812.822916666667,310.375,641.308333333333,706.797916666667,"R",NA
2005,"North Coast","Chardonnay",NA,NA,94,93.39,57.7,0,123.99,57.7,0,157.29,94.6,0,105.44,57.7,0,209.4,699.625,568.2625,225.8,683.525,652.9875,190.175,578.125,748.8375,208.425,659.4,617.9375,"E",NA
2006,"North Coast","Chardonnay",NA,NA,87,150.5,23.1,0,241.4,23.1,0,279.2,23.1,0,184.35,23.1,0,248.8,760.458333333333,584.45,255.675,738.783333333333,693.375,167.35,659.133333333333,783.5,240.025,705.958333333333,652.125,"I",NA
2007,"North Coast","Chardonnay",NA,NA,92,41.4,1.55,0,50.15,1.55,4.85,50.15,0,1.55,45.85,1.55,0,282.2125,715,633.2625,308.5375,701.1,709.1125,266.925,665.4125,779.7625,287.0125,677.85,678.4625,"R",NA
2008,"North Coast","Chardonnay",NA,NA,88,4.3,4.2,0,7.2,4.2,0,7.2,4.2,0,7.2,4.2,0,252.125,731.825,645.375,261.275,720.825,718.56,197.575,688.05,781.05,238.5,714.3,680.675,"I",NA
2009,"North Coast","Chardonnay",NA,NA,90,70.8,0.65,1.95,70.8,0.65,1.95,80.65,1.15,1.95,70.8,0.65,1.95,254.1375,689.685,537.6,299.0125,681.085,600.075,245.675,617.4625,696.735,266.9125,656.485,579.95,"R",NA
2010,"North Coast","Chardonnay",NA,NA,91,127.05,36.05,0,142.5,36.05,0,134.25,44.3,0,131.3,36.05,0,186.1,628.7,535.8125,203.95,618.7,621.3375,200.9,543.9,674.2125,189.375,598.125,573.2125,"E",NA
2011,"North Coast","Chardonnay",NA,NA,88,25.6833333333333,122.6575,0,64.7833333333333,122.6575,0,222.456666666667,131.7325,0,35.8208333333333,127.52,0,229.275,597.325,562.725,254.575,587.35,675.05,204.875,525.7,689.925,238.875,557.9,605.2,"I",NA
2012,"North Coast","Chardonnay",NA,NA,94,75.1735714285714,4.11666666666667,0,156.345,4.11666666666667,0,208.0425,4.11666666666667,0,110.273571428571,4.11666666666667,0,273.025,668.5,583.275,287.45,656.55,661.575,203.875,638.275,710.4,274.675,635.95,622.1,"E",NA
2013,"North Coast","Chardonnay",NA,NA,93,30.75,22.35,0,40.15,22.35,13.6,41.85,25.25,0,35.6,22.35,0,366.325,738.225,600.775,399.65,726,693.8,346.275,687.125,735.725,376.875,706.975,640.225,"R",NA
2014,"North Coast","Chardonnay",NA,NA,94,53.95,0,0.8,112,0,4.35,112,0,0.8,79.9,0,0.8,315.3125,750.4,656,337.6625,737.35,761.5875,300.375,684.2375,809.875,313.5875,719.35,700.975,"R",NA
2015,"North Coast","Chardonnay",NA,NA,96,45.9,3.6,0.15,45.9,3.6,5.65,49.85,4.35,0.15,45.65,3.85,0.15,255,728.725,685.725,312.925,718.6,790.425,315.475,618.2,849,277.2,682.75,736.15,"E",NA
2016,"North Coast","Chardonnay",NA,NA,94,35.7,3.95,0,35.7,3.95,0,57,8.8,0,35.7,3.95,0,310.925,722.45,572.025,338.475,707.475,676.275,307.425,646.825,718.15,315.85,691.775,610.075,"E",NA
2017,"North Coast","Chardonnay",NA,NA,94,65.7,12.6,1.5,70.45,12.6,1.5,140.45,12.6,1.5,68.25,12.6,1.5,262.05,783.675,709.825,296.6,768.65,791.675,281,672.3,879.425,275.9,736.35,760.925,"E",NA
1990,"North Coast","Zinfandel",NA,NA,91,7.25,41.6,0,7.25,41.6,7.2,7.25,41.6,0,7.25,41.6,0,246.35,624.975,589.125,275.85,614.825,686.925,286.725,486.425,758.7,252.525,587.75,633.275,"C",NA
1991,"North Coast","Zinfandel",NA,NA,91,11.05,13.25,3.2,48.25,13.25,3.2,152.75,14.55,3.2,32.4,13.25,3.2,176.225,610.45,564.125,192.7,599.75,658.775,139.825,534,693.725,177.9,580.725,599.4,"C",NA
1992,"North Coast","Zinfandel",NA,NA,90,20.85,29.475,0,22.825,29.475,0,60.1875,29.475,0,21.5,29.475,0,331.675,699.1625,404.45,362.025,687.2125,492.325,297.125,630.5875,560.975,339.575,661.1625,448.45,"C",NA
1993,"North Coast","Zinfandel",NA,NA,90,48.45,61.75,0,63.1375,61.75,0,116.5875,61.75,0,53.9,61.75,0,233.60625,716.3375,607.575,248.70625,700.9125,683.1,219.00625,637.775,753.3375,235.08125,679.6625,651.175,"C",NA
1994,"North Coast","Zinfandel",NA,NA,92,73.25,10.65,0,78.2875,10.65,0,53.8125,39.4,0,75.25,10.8,0,245.9625,637.025,584.875,270.7875,626.625,679.9,211.7875,586.8,704.775,251.6125,608.725,619.85,"C",NA
1995,"North Coast","Zinfandel",NA,NA,87,91.3,35.75,0,91.3,35.75,0,174.5,54.55,0,90.25,36.8,0,190.575,676.025,646.45,209.2,666.025,745.65,189.25,553.025,806.075,196.675,635.175,690.925,"C",NA
1996,"North Coast","Zinfandel",NA,NA,89,100.5,85.25,0.4,101,85.25,0.4,87.4,98.85,0.4,86.9,98.85,0.4,281.075,698.875,636.2125,291.3,686.375,728.4125,250.65,624.625,793.0875,276.05,664.4,681.1125,"C",NA
1997,"North Coast","Zinfandel",NA,NA,85,15.7,21.05,21.6,15.7,21.05,21.6,33.1,21.05,21.6,15.7,21.05,21.6,303.925,765.725,622.75,340.725,755.85,721.25,295.125,720.2,767.9,309.475,736.275,663.025,"C",NA
1998,"North Coast","Zinfandel",NA,NA,86,88.275,52.65,0,107.725,52.65,0,121.025,70.5,0,99.575,52.65,0,182.55,452.9375,630.25,189.925,448.9125,705,203.875,409.2625,709.65,183.4,406.8625,679.925,"C",NA
1999,"North Coast","Zinfandel",NA,NA,87,76.4,2.9,0.25,109.85,2.9,0.5,128.4,2.9,0.25,85.55,2.9,0.25,204.7375,613.175,551.8875,211.9625,605.425,629.2875,168.8375,530.3,690.4375,206.2625,586.425,581.4125,"C",NA
2000,"North Coast","Zinfandel",NA,NA,83,79.45,4.2,0.5,79.45,4.2,1.4,42.7,40.95,0.5,68.25,15.4,0.5,251.625,717.6,602.225,278.85,705.675,715.075,288.575,624.3,736.525,260.075,684.3,640.125,"C",NA
2001,"North Coast","Zinfandel",NA,NA,90,14.25,3.3,0,22.15,3.3,0,22.15,3.3,0,17.45,3.3,0,258.6875,771.9,574.5,302.8875,761.35,650.275,250.8875,755.575,696.05,270.8875,745.375,608.8,"R",NA
2002,"North Coast","Zinfandel",NA,NA,85,5.48,34.85,0,5.48,34.85,0,30.98,34.85,0,5.48,34.85,0,235.275,708.5,581.95,271.325,699.175,694.7375,220.7,632.825,723.725,243.3,679.75,618.05,"R",NA
2003,"North Coast","Zinfandel",NA,NA,93,186.65,0,10.8,188.45,0,10.8,199.65,2.4,10.8,188.05,0,10.8,137.5875,767.975,639.8,183.3875,755.075,753.9375,165.925,628.1,826.7625,153.5375,717.95,696.075,"R",NA
