"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","prcp_avg_year_gen","prcp_avg_year_cab","prcp_avg_year_chard","prcp_avg_year_mer","gdd_avg_year_gen","gdd_avg_year_cab","gdd_avg_year_chard","gdd_avg_year_mer","Descriptions_WS_WA","Notes"
2000,"North Coast","Cabernet ",NA,NA,78,78,84.15,85.05,84.15,84.15,1571.45,1699.6,1649.4,1598.675,"C",NA
2000,"North Coast","Zinfandel",NA,NA,83,83,84.15,85.05,84.15,84.15,1571.45,1699.6,1649.4,1598.675,"C",NA
2001,"North Coast","Cabernet ",NA,NA,96,96,17.55,25.45,25.45,25.45,1605.0875,1714.5125,1702.5125,1649.2875,"T",NA
2001,"North Coast","Zinfandel",NA,NA,90,90,17.55,25.45,25.45,25.45,1605.0875,1714.5125,1702.5125,1649.2875,"R",NA
2002,"North Coast","Zinfandel",NA,NA,85,85,40.33,40.33,65.83,40.33,1525.725,1665.2375,1577.25,1561.775,"R",NA
2002,"North Coast","Cabernet ",NA,NA,95,95,40.33,40.33,65.83,40.33,1525.725,1665.2375,1577.25,1561.775,"E",NA
2003,"North Coast","Zinfandel",NA,NA,93,93,197.45,199.25,212.85,199.25,1545.3625,1692.4,1620.7875,1591.1625,"R",NA
2003,"North Coast","Cabernet ",NA,NA,92,92,197.45,199.25,212.85,199.25,1545.3625,1692.4,1620.7875,1591.1625,"I",NA
2004,"North Coast","Cabernet ",NA,NA,91,91,15.85,36.7333333333333,34.5333333333333,34.5333333333333,1642.35625,1749.89375,1747.96875,1672.24375,"R",NA
2004,"North Coast","Zinfandel",NA,NA,82,82,15.85,36.7333333333333,34.5333333333333,34.5333333333333,1642.35625,1749.89375,1747.96875,1672.24375,"I",NA
2005,"North Coast","Cabernet ",NA,NA,95,95,151.09,181.69,251.89,181.69,1477.2875,1562.3125,1517.1375,1493.6875,"T",NA
2005,"North Coast","Zinfandel",NA,NA,78,78,151.09,181.69,251.89,181.69,1477.2875,1562.3125,1517.1375,1493.6875,"I",NA
2006,"North Coast","Cabernet ",NA,NA,91,91,173.6,264.5,302.3,264.5,1593.70833333333,1687.83333333333,1609.98333333333,1600.58333333333,"E",NA
2006,"North Coast","Zinfandel",NA,NA,79,79,173.6,264.5,302.3,264.5,1593.70833333333,1687.83333333333,1609.98333333333,1600.58333333333,"I",NA
2007,"North Coast","Zinfandel",NA,NA,88,88,42.95,56.55,51.7,51.7,1630.475,1718.75,1712.1,1656.8,"R",NA
2007,"North Coast","Cabernet ",NA,NA,96,96,42.95,56.55,51.7,51.7,1630.475,1718.75,1712.1,1656.8,"E",NA
2008,"North Coast","Zinfandel",NA,NA,78,78,8.5,11.4,11.4,11.4,1629.325,1700.66,1666.675,1638.475,"I",NA
2008,"North Coast","Cabernet ",NA,NA,94,94,8.5,11.4,11.4,11.4,1629.325,1700.66,1666.675,1638.475,"T",NA
2009,"North Coast","Zinfandel",NA,NA,85,85,73.4,73.4,83.75,73.4,1481.4225,1580.1725,1559.8725,1526.2975,"I",NA
2009,"North Coast","Cabernet ",NA,NA,94,94,73.4,73.4,83.75,73.4,1481.4225,1580.1725,1559.8725,1526.2975,"T",NA
2010,"North Coast","Zinfandel",NA,NA,90,90,163.1,178.55,178.55,178.55,1350.6125,1443.9875,1419.0125,1368.4625,"R",NA
2010,"North Coast","Cabernet ",NA,NA,95,95,163.1,178.55,178.55,178.55,1350.6125,1443.9875,1419.0125,1368.4625,"T",NA
2011,"North Coast","Zinfandel",NA,NA,74,74,148.340833333333,187.440833333333,354.189166666667,187.440833333333,1389.325,1516.975,1420.5,1414.625,"I",NA
2011,"North Coast","Cabernet ",NA,NA,82,82,148.340833333333,187.440833333333,354.189166666667,187.440833333333,1389.325,1516.975,1420.5,1414.625,"I",NA
2012,"North Coast","Cabernet ",NA,NA,96,96,79.2902380952381,160.461666666667,212.159166666667,160.461666666667,1524.8,1605.575,1552.55,1539.225,"E",NA
2013,"North Coast","Cabernet ",NA,NA,98,98,53.1,76.1,67.1,62.5,1705.325,1819.45,1769.125,1738.65,"T",NA
2014,"North Coast","Cabernet ",NA,NA,93,93,54.75,116.35,112.8,112.8,1721.7125,1836.6,1794.4875,1744.0625,"R",NA
2015,"North Coast","Cabernet ",NA,NA,97,97,49.65,55.15,54.35,49.65,1669.45,1821.95,1782.675,1727.375,"E",NA
2016,"North Coast","Cabernet ",NA,NA,98,98,39.65,39.65,65.8,39.65,1605.4,1722.225,1672.4,1632.95,"T",NA
2017,"North Coast","Cabernet ",NA,NA,86,86,79.8,84.55,154.55,84.55,1755.55,1856.925,1832.725,1790.1,"I",NA
1990,"North Coast","Cabernet ",NA,NA,94,94,48.85,56.05,48.85,48.85,1460.45,1577.6,1531.85,1489.95,"E",NA
1991,"North Coast","Cabernet ",NA,NA,94,94,27.5,64.7,170.5,64.7,1350.8,1451.225,1367.55,1367.275,"T",NA
1992,"North Coast","Cabernet ",NA,NA,93,93,50.325,52.3,89.6625,52.3,1435.2875,1541.5625,1488.6875,1465.6375,"R",NA
1993,"North Coast","Cabernet ",NA,NA,90,90,110.2,124.8875,178.3375,124.8875,1557.51875,1632.71875,1610.11875,1572.61875,"E",NA
2012,"North Coast","Zinfandel",NA,NA,92,92,79.2902380952381,160.461666666667,212.159166666667,160.461666666667,1524.8,1605.575,1552.55,1539.225,"R",NA
2013,"North Coast","Zinfandel",NA,NA,92,92,53.1,76.1,67.1,62.5,1705.325,1819.45,1769.125,1738.65,"R",NA
2014,"North Coast","Zinfandel",NA,NA,93,93,54.75,116.35,112.8,112.8,1721.7125,1836.6,1794.4875,1744.0625,"R",NA
2015,"North Coast","Zinfandel",NA,NA,90,90,49.65,55.15,54.35,49.65,1669.45,1821.95,1782.675,1727.375,"I",NA
2016,"North Coast","Zinfandel",NA,NA,93,93,39.65,39.65,65.8,39.65,1605.4,1722.225,1672.4,1632.95,"R",NA
2017,"North Coast","Zinfandel",NA,NA,92,92,79.8,84.55,154.55,84.55,1755.55,1856.925,1832.725,1790.1,"R",NA
