"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_year","var_gdd_avg_year","Descriptions_WS_WA","Notes"
2011,"Sonoma","Merlot",83,NA,NA,83,187.440833333333,1414.625,NA,NA
2012,"Sonoma","Merlot",89,NA,NA,89,160.461666666667,1539.225,NA,NA
2013,"Sonoma","Merlot",88,NA,NA,88,62.5,1738.65,NA,NA
2014,"Sonoma","Merlot",89,NA,NA,89,112.8,1744.0625,NA,NA
2015,"Sonoma","Merlot",88,NA,NA,88,49.65,1727.375,NA,NA
2016,"Sonoma","Merlot",91,NA,NA,91,39.65,1632.95,NA,NA
2000,"Sonoma","Rhone",87,NA,NA,87,84.15,1571.45,NA,NA
2001,"Sonoma","Rhone",89,NA,NA,89,17.55,1605.0875,NA,NA
2002,"Sonoma","Rhone",89,NA,NA,89,40.33,1525.725,NA,NA
2003,"Sonoma","Rhone",90,NA,NA,90,197.45,1545.3625,NA,NA
2004,"Sonoma","Rhone",89,NA,NA,89,15.85,1642.35625,NA,NA
2005,"Sonoma","Rhone",87,NA,NA,87,151.09,1477.2875,NA,NA
2006,"Sonoma","Rhone",95,NA,NA,95,173.6,1593.70833333333,NA,NA
2007,"Sonoma","Rhone",92,NA,NA,92,42.95,1630.475,NA,NA
2008,"Sonoma","Rhone",91,NA,NA,91,8.5,1629.325,NA,NA
2009,"Sonoma","Rhone",93,NA,NA,93,73.4,1481.4225,NA,NA
2010,"Sonoma","Rhone",93,NA,NA,93,163.1,1350.6125,NA,NA
2011,"Sonoma","Rhone",87,NA,NA,87,148.340833333333,1389.325,NA,NA
2012,"Sonoma","Rhone",92,NA,NA,92,79.2902380952381,1524.8,NA,NA
2013,"Sonoma","Rhone",93,NA,NA,93,53.1,1705.325,NA,NA
2014,"Sonoma","Rhone",94,NA,NA,94,54.75,1721.7125,NA,NA
2015,"Sonoma","Rhone",94,NA,NA,94,49.65,1669.45,NA,NA
2016,"Sonoma","Rhone",93,NA,NA,93,39.65,1605.4,NA,NA
2017,"Sonoma","Rhone",89.5,NA,NA,89.5,79.8,1755.55,NA,"WS_Napa, 88-91 (value is mean), WE_Sonoma, 88-91 (value is mean)"
2004,"Sonoma","Zinfandel",86,NA,NA,86,15.85,1642.35625,NA,NA
2005,"Sonoma","Zinfandel",89,NA,NA,89,151.09,1477.2875,NA,NA
2006,"Sonoma","Zinfandel",90,NA,NA,90,173.6,1593.70833333333,NA,NA
2007,"Sonoma","Zinfandel",91,NA,NA,91,42.95,1630.475,NA,NA
2008,"Sonoma","Zinfandel",93,NA,NA,93,8.5,1629.325,NA,NA
2009,"Sonoma","Zinfandel",92,NA,NA,92,73.4,1481.4225,NA,NA
2010,"Sonoma","Zinfandel",88,NA,NA,88,163.1,1350.6125,NA,NA
2011,"Sonoma","Zinfandel",88,NA,NA,88,148.340833333333,1389.325,NA,NA
2012,"Sonoma","Zinfandel",91,NA,NA,91,79.2902380952381,1524.8,NA,NA
2013,"Sonoma","Zinfandel",92,NA,NA,92,53.1,1705.325,NA,NA
2014,"Sonoma","Zinfandel",94,NA,NA,94,54.75,1721.7125,NA,NA
2015,"Sonoma","Zinfandel",94,NA,NA,94,49.65,1669.45,NA,NA
2016,"Sonoma","Zinfandel",95,NA,NA,95,39.65,1605.4,NA,NA
2017,"Sonoma","Zinfandel",91,NA,NA,91,79.8,1755.55,NA,NA
2018,"Sonoma","Zinfandel",94.5,NA,NA,94.5,75.95,1558.075,NA,"WE_Sonoma, 93-96 (value is mean)"
