"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_year","var_gdd_avg_year","Descriptions_WS_WA","Notes"
2005,"Napa","Cabernet",92,NA,NA,92,181.69,1562.3125,"Record-size crop; best are elegant and balanced, yet many are tannic and drying out",NA
2006,"Napa","Cabernet",95,NA,NA,95,264.5,1687.83333333333,"A late, cool harvest produced dense, concentrated and ageworthy wines",NA
2007,"Napa","Cabernet",97,NA,NA,97,56.55,1718.75,"Textbook year; small crop, ideal ripening, wines defined by complexity and plush tannins",NA
2008,"Napa","Cabernet",96,NA,NA,96,11.4,1700.66,"Frost year lowered yields but not quality; unique for its depth and concentration",NA
2009,"Napa","Cabernet",96,NA,NA,96,73.4,1580.1725,"Late, cool year yielding a surprise bounty of pure, opulent wines",NA
2010,"Napa","Cabernet",96,NA,NA,96,178.55,1443.9875,"Cool, steady year; wines show exceptional quality, tight, dense and layered",NA
2011,"Napa","Cabernet",86,NA,NA,86,187.440833333333,1516.975,"Rare rainy harvest proved it can happen; few sunny spots, variable quality",NA
2012,"Napa","Cabernet",96,NA,NA,96,160.461666666667,1605.575,"The first of California’s drought-influenced run and a welcome return to warm, dry conditions following the rain-marred 2011 season. Record-sized crop with many stars; a solid vintage across the board marked by a tannic spine that will age well",NA
2013,"Napa","Cabernet",97,NA,NA,97,76.1,1819.45,"Practically a flawless growing season, with moderate temperatures throughout and no heat spikes or rain. Earliest harvest in 25 years started in August, but Indian summer conditions allowed growers to pick blocks as they wanted through late October. Wines brim with fruit and structure. A no-brainer benchmark",NA
2014,"Napa","Cabernet",95,NA,NA,95,116.35,1836.6,"Heavy rains in February and March gave the vines an early boost—though not enough to break the drought—and from there warm, dry conditions led to an early harvest. Quality is very consistent, with the wines showing power and depth, as well as extra aromatic range. A beautiful vintage with a distinct signature",NA
2015,"Napa","Cabernet",94,NA,NA,94,55.15,1821.95,"The fourth drought-influenced year in a row, plus a cold spell during flowering led to significantly lower yields. The smaller crop ripened quickly, though, with picking beginning in August. Quality is high but more variable than 2016 or 2013, as sugars sometimes raced ahead of phenolics",NA
2016,"Napa","Cabernet",98,NA,NA,98,39.65,1722.225,"The final drought-influenced vintage of the run since 2012, this time without serious heat spikes. Rockier soils and drier spots ripened first, while heavier soils allowed for longer hang time. Wines show intense fruit against the backdrop of their varying terroirs; crop still down from normal",NA
2017,"Napa","Cabernet",90.5,NA,NA,90.5,84.55,1856.925,"Drought broke over the winter, with lots of vegetation and healthy vines to start the season. Good growing season turned wickedly hot in early September, with no cooling-off period, then wildfires raged in early October, raising the specter of smoke taint. Napa’s most difficult season in recent memory","WS_Napa, 89-92 (value is mean)"
1996,"Napa","Chardonnay",95,NA,NA,95,186.65,1668.3625,"Rivals '97 in opulence and concentration; great finesse",NA
1997,"Napa","Chardonnay",96,NA,NA,96,75.75,1783.225,"Monumental year; very ripe, opulent and complex",NA
1998,"Napa","Chardonnay",84,NA,NA,84,191.525,1322.7875,"Lean and austere statewide; highly variable",NA
1999,"Napa","Chardonnay",87,NA,NA,87,131.55,1389.575,"Sonoma and Santa Barbara are tops, with rich, complex wines",NA
2000,"Napa","Chardonnay",87,NA,NA,87,84.15,1649.4,"Carneros the clear star; wines elsewhere lack depth and completeness",NA
2001,"Napa","Chardonnay",87,NA,NA,87,25.45,1702.5125,"Best in Carneros and Sonoma; concentrated, with firm acidity",NA
2002,"Napa","Chardonnay",94,NA,NA,94,65.83,1577.25,"Sensational, fleshy, opulent wines; near perfect in Sonoma, strong in Carneros and Napa",NA
2003,"Napa","Chardonnay",89,NA,NA,89,212.85,1620.7875,"Leaner, crisper wines than in '02 due to a challenging season, but some gems, too",NA
2004,"Napa","Chardonnay",92,NA,NA,92,34.5333333333333,1747.96875,"Sonoma stars in a ripe, rich, opulent year that rivals 2002",NA
2005,"Napa","Chardonnay",89,NA,NA,89,251.89,1517.1375,"Restrained wines; trim and tight, with higher acidity",NA
2006,"Napa","Chardonnay",88,NA,NA,88,302.3,1609.98333333333,"Challenging harvest with mixed quality and fewer gems, but hardly a washout",NA
2007,"Napa","Chardonnay",95,NA,NA,95,51.7,1712.1,"Ripe, complex, balanced and ageworthy wines; many brilliant bottles from all appellations",NA
2008,"Napa","Chardonnay",92,NA,NA,92,11.4,1666.675,"Frost and fire didn't spoil the vintage, though quality is variable. Tight, concentrated wines",NA
2009,"Napa","Chardonnay",94,NA,NA,94,83.75,1559.8725,"Cooler year showing toned-down ripeness, with more finesse and delicacy",NA
2010,"Napa","Chardonnay",92,NA,NA,92,178.55,1419.0125,"Cool year resulted in uneven quality; best wines are tight and concentrated",NA
2011,"Napa","Chardonnay",89,NA,NA,89,354.189166666667,1420.5,"Cool and damp, challenging everywhere; best wines are elegant and scaled back",NA
2012,"Napa","Chardonnay",94,NA,NA,94,212.159166666667,1552.55,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",NA
2013,"Napa","Chardonnay",93,NA,NA,93,67.1,1769.125,"An exceptional year, distinct for vibrancy and density; ageworthy",NA
2014,"Napa","Chardonnay",92,NA,NA,92,112.8,1794.4875,"Drought produced spartan crop; fine quality, with yields the only disappointment",NA
2015,"Napa","Chardonnay",89,NA,NA,89,54.35,1782.675,"Sonoma strong again in another drought year; elegant and refined in style",NA
2016,"Napa","Chardonnay",89,NA,NA,89,65.8,1672.4,"Solid but variable year; fine quality in Sonoma and Santa Barbara",NA
2017,"Napa","Chardonnay",90,NA,NA,90,154.55,1832.725,"Ample winter rain followed by a warm growing season yielded complex and powerful wines",NA
2018,"Napa","Chardonnay",90,NA,NA,90,161.45,1614.375,"Nearly ideal conditions delivered wines with concentrated fruit flavors and crunchy acidity",NA
1996,"Napa","Merlot",88,NA,NA,88,186.65,1626.3875,"Best overall for Napa, with rich, structured wines",NA
1997,"Napa","Merlot",86,NA,NA,86,58.35,1729.2,"Ripe, opulent and supple wines",NA
1998,"Napa","Merlot",82,NA,NA,82,160.375,1273.1125,"Marked by lean, hollow wines",NA
1999,"Napa","Merlot",87,NA,NA,87,113,1377.025,"One of the best for Napa; ordinary for Sonoma",NA
2000,"Napa","Merlot",83,NA,NA,83,84.15,1598.675,"Mixed in both regions",NA
2001,"Napa","Merlot",87,NA,NA,87,25.45,1649.2875,"Good, but not on par with '01 Cabernet",NA
2002,"Napa","Merlot",89,NA,NA,89,40.33,1561.775,"About as good as it gets in Napa, with Sonoma lagging",NA
2003,"Napa","Merlot",85,NA,NA,85,199.25,1591.1625,"Tight and tannic wines; best to decant",NA
2004,"Napa","Merlot",87,NA,NA,87,34.5333333333333,1672.24375,"The best are supple, rich and complex; a step above the 2003s",NA
2005,"Napa","Merlot",89,NA,NA,89,181.69,1493.6875,"Top wines are elegant and well-focused, with ripeness achieved at lower alcohol levels",NA
2006,"Napa","Merlot",92,NA,NA,92,264.5,1600.58333333333,"Inconsistent; best are rich and supple, but many are lean and herbal",NA
2007,"Napa","Merlot",89,NA,NA,89,51.7,1656.8,"Supple and appealing wines from Napa; Sonoma offers value",NA
2008,"Napa","Merlot",89,NA,NA,89,11.4,1638.475,"Top producers made superior wines while others struggled in a cool year",NA
2009,"Napa","Merlot",94,NA,NA,94,73.4,1526.2975,"Ideal season; best wines show balance, structure and lively acidity",NA
2010,"Napa","Merlot",87,NA,NA,87,178.55,1368.4625,"Extremely cool season; many wines are herbal and have unripe tannins",NA
2011,"Napa","Merlot",87,NA,NA,87,187.440833333333,1414.625,"Rainy and cool year; many wines have hard tannins, herbal flavors",NA
2012,"Napa","Merlot",91,NA,NA,91,160.461666666667,1539.225,"Long, warm growing season produced rich, ripe and easy-drinking wines",NA
2013,"Napa","Merlot",90,NA,NA,90,62.5,1738.65,"Sunny weather and a long growing season led to fruit-forward wines",NA
2014,"Napa","Merlot",92,NA,NA,92,112.8,1744.0625,"Drought-influenced vintage yields well-structured wines with refined fruit flavors",NA
2015,"Napa","Merlot",91,NA,NA,91,49.65,1727.375,"Small crop from another drought vintage; firmly tannic, with deep dark fruit and spice flavors",NA
2016,"Napa","Merlot",94,NA,NA,94,39.65,1632.95,"Nearly ideal weather results in plush flavors and structures supported by medium-grained tannins",NA
2000,"Napa","Rhone",93,NA,NA,93,84.15,1571.45,NA,NA
2001,"Napa","Rhone",97,NA,NA,97,17.55,1605.0875,NA,NA
2002,"Napa","Rhone",96,NA,NA,96,40.33,1525.725,NA,NA
2003,"Napa","Rhone",90,NA,NA,90,197.45,1545.3625,NA,NA
2004,"Napa","Rhone",97,NA,NA,97,15.85,1642.35625,NA,NA
2005,"Napa","Rhone",92,NA,NA,92,151.09,1477.2875,NA,NA
2006,"Napa","Rhone",93,NA,NA,93,173.6,1593.70833333333,NA,NA
2007,"Napa","Rhone",95,NA,NA,95,42.95,1630.475,NA,NA
2008,"Napa","Rhone",91,NA,NA,91,8.5,1629.325,NA,NA
2009,"Napa","Rhone",92,NA,NA,92,73.4,1481.4225,NA,NA
2010,"Napa","Rhone",93,NA,NA,93,163.1,1350.6125,NA,NA
2011,"Napa","Rhone",87,NA,NA,87,148.340833333333,1389.325,NA,NA
2012,"Napa","Rhone",93,NA,NA,93,79.2902380952381,1524.8,NA,NA
2013,"Napa","Rhone",94,NA,NA,94,53.1,1705.325,NA,NA
2014,"Napa","Rhone",93,NA,NA,93,54.75,1721.7125,NA,NA
2015,"Napa","Rhone",94,NA,NA,94,49.65,1669.45,NA,NA
2016,"Napa","Rhone",94,NA,NA,94,39.65,1605.4,NA,NA
2017,"Napa","Rhone",89.5,NA,NA,89.5,79.8,1755.55,NA,"WS_Napa, 88-91 (value is mean), WE_Sonoma, 88-91 (value is mean)"
1995,"Napa","Zinfandel",NA,90,NA,90,127.05,1513.05,NA,NA
1996,"Napa","Zinfandel",NA,88,NA,88,186.15,1616.1625,NA,NA
1997,"Napa","Zinfandel",NA,89,NA,89,58.35,1692.4,NA,NA
1998,"Napa","Zinfandel",NA,85,NA,85,140.925,1265.7375,NA,NA
1999,"Napa","Zinfandel",NA,90,NA,90,79.55,1369.8,NA,NA
2000,"Napa","Zinfandel",NA,85,NA,85,84.15,1571.45,NA,NA
2001,"Napa","Zinfandel",NA,91,NA,91,17.55,1605.0875,NA,NA
2002,"Napa","Zinfandel",NA,86,NA,86,40.33,1525.725,NA,NA
2003,"Napa","Zinfandel",NA,88,NA,88,197.45,1545.3625,NA,NA
2004,"Napa","Zinfandel",85,90,NA,87.5,15.85,1642.35625,"Warm year produced jammy wines; ripeness often over the top",NA
2005,"Napa","Zinfandel",91,87,NA,89,151.09,1477.2875,"Complex, well-structured wines with tannins built for aging",NA
2006,"Napa","Zinfandel",90,87,NA,88.5,173.6,1593.70833333333,"Top wines are fruit-forward, elegant and balanced; well-structured",NA
2007,"Napa","Zinfandel",92,94,NA,93,42.95,1630.475,"Growing season was ideal; wines are supple and elegantly ripe, but with good backbone",NA
2008,"Napa","Zinfandel",94,89,NA,91.5,8.5,1629.325,"Eccentric growing season, but wines show surprising richness and balance",NA
2009,"Napa","Zinfandel",92,89,NA,90.5,73.4,1481.4225,"Long, cool season; wines are balanced and elegant, with typically modest alcohol levels",NA
2010,"Napa","Zinfandel",88,89,NA,88.5,163.1,1350.6125,"Tough growing season; quality varies, but many flavorful, well-balanced wines",NA
2011,"Napa","Zinfandel",89,89,NA,89,148.340833333333,1389.325,"Variable quality; best wines are structured and vibrant",NA
2012,"Napa","Zinfandel",89,92,NA,90.5,79.2902380952381,1524.8,"Fruit-forward, soft and approachable",NA
2013,"Napa","Zinfandel",91,93,NA,92,53.1,1705.325,"Lively but concentrated wines with good structure built for long-term drinking",NA
2014,"Napa","Zinfandel",93,93,NA,93,54.75,1721.7125,"Fresh and fruit-forward but balanced and complex",NA
2015,"Napa","Zinfandel",92,93,NA,92.5,49.65,1669.45,"Jammed with fruit; more concentrated and ageable than 2014",NA
2016,"Napa","Zinfandel",92,93,NA,92.5,39.65,1605.4,"Akin to the 2015s, with the best showing polish and plush textures",NA
2017,"Napa","Zinfandel",90,89,NA,89.5,79.8,1755.55,"Hot and unusually dry growing season led to wildfires in October; ripe wines with variable quality",NA
2018,"Napa","Zinfandel",90.5,90,NA,90.25,75.95,1558.075,"Nearly ideal growing season, with generally rich and structured wines that are also consumer-friendly",NA
